Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
Lambert Micha,M,26,180,76,Belgium,BEL,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,0
Lszl Mihlyfi,M,25,182,78,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,0
Lennox Valencia Miller,M,22,183,79,Jamaica,JAM,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,Silver
Lennox Valencia Miller,M,25,183,79,Jamaica,JAM,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,Bronze
Luk Milo,M,24,183,83,Czech Republic,CZE,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,0
Duan Miloevi,M,17,171,62,Serbia,SRB,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,0
Edmund Joseph Minahan,M,17,183,86,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 100 metres,0
Yahiko Mishima,M,26,0,0,Japan,JPN,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,0
Dennis Allen Mitchell,M,22,175,70,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,0
Dennis Allen Mitchell,M,26,175,70,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,Bronze
Dennis Allen Mitchell,M,30,175,70,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Patrick Mocci-Raoumb,M,26,160,70,Gabon,GAB,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Sitiveni Moceidreke,M,23,186,78,Fiji,FIJ,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,0
Eugne Moetbeek,M,0,0,0,Belgium,BEL,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,0
Abdullah Abkar Mohammed,M,19,172,73,Saudi Arabia,KSA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,0
Tukal Mokalam,M,23,165,65,Philippines,PHI,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
Ivan Mauritz Mller,M,28,0,0,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,0
"Frederick Graham ""Fred"" Moloney",M,17,0,0,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 100 metres,0
